Order_ID,Route,Distance_KM,Fuel_Consumption_L,Toll_Charges_IDR,Traffic_Delay_Minutes,Weather_Impact
ORD000064,Surabaya-Palembang,1210,170,0,80,None
ORD000065,Bandung-Balikpapan,1410,205,0,125,Heavy_Rain
ORD000066,Makassar-Padang,2025,290,0,150,Storm
ORD000067,Jakarta-Manado,2175,298,0,105,None
ORD000068,Semarang-Makassar,1435,210,0,170,Heavy_Rain
ORD000069,Makassar-Bandung,1560,235,0,190,Flood
ORD000070,Palembang-Makassar,1765,255,0,120,Heavy_Rain
ORD000071,Makassar-Samarinda,1025,155,0,60,None
ORD000072,Surabaya-Pontianak,1465,215,0,155,Heavy_Rain
ORD000073,Jakarta-Padang,1025,150,0,45,None
ORD000074,Makassar-Semarang,1385,202,0,210,Traffic_Jam
ORD000075,Balikpapan-Jakarta,1290,195,450000,95,Fog
ORD000076,Makassar-Medan,2525,350,0,175,Heavy_Rain
ORD000077,Manado-Jakarta,2225,310,0,135,Storm
ORD000078,Jakarta-Samarinda,1365,205,0,65,None
ORD000079,Makassar-Pontianak,1720,245,0,245,Heavy_Rain
ORD000080,Surabaya-Palembang,1225,175,0,75,None
ORD000081,Bandung-Balikpapan,1425,210,0,120,Heavy_Rain
ORD000082,Makassar-Padang,2040,295,0,145,Storm
ORD000083,Jakarta-Manado,2190,303,0,100,None
ORD000084,Semarang-Makassar,1450,215,0,165,Heavy_Rain
ORD000085,Makassar-Bandung,1575,240,0,185,Flood
ORD000086,Palembang-Makassar,1780,260,0,115,Heavy_Rain
ORD000087,Makassar-Samarinda,1040,158,0,55,None
ORD000088,Surabaya-Pontianak,1480,220,0,150,Heavy_Rain
ORD000089,Jakarta-Padang,1040,155,0,40,None
ORD000090,Makassar-Semarang,1400,208,0,205,Traffic_Jam
ORD000091,Balikpapan-Jakarta,1305,200,460000,90,Fog
ORD000092,Makassar-Medan,2540,355,0,170,Heavy_Rain
ORD000093,Manado-Jakarta,2240,315,0,130,Storm
ORD000094,Jakarta-Samarinda,1380,210,0,60,None
ORD000095,Makassar-Pontianak,1735,250,0,240,Heavy_Rain
ORD000096,Surabaya-Palembang,1240,180,0,70,None
ORD000097,Bandung-Balikpapan,1440,215,0,115,Heavy_Rain
ORD000098,Makassar-Padang,2055,300,0,140,Storm
ORD000099,Jakarta-Manado,2205,308,0,95,None
ORD000100,Semarang-Makassar,1465,220,0,160,Heavy_Rain
ORD000101,Makassar-Bandung,1590,245,0,180,Flood
ORD000102,Palembang-Makassar,1795,265,0,110,Heavy_Rain
ORD000103,Makassar-Samarinda,1055,162,0,50,None
ORD000104,Surabaya-Pontianak,1495,225,0,145,Heavy_Rain
ORD000105,Jakarta-Padang,1055,160,0,35,None
ORD000106,Makassar-Semarang,1415,212,0,200,Traffic_Jam
ORD000107,Balikpapan-Jakarta,1320,205,470000,85,Fog
ORD000108,Makassar-Medan,2555,360,0,165,Heavy_Rain
ORD000109,Manado-Jakarta,2255,320,0,125,Storm
ORD000110,Jakarta-Samarinda,1395,215,0,55,None
ORD000111,Makassar-Pontianak,1750,255,0,235,Heavy_Rain
ORD000112,Surabaya-Palembang,1255,185,0,65,None
ORD000113,Bandung-Balikpapan,1455,220,0,110,Heavy_Rain
ORD000114,Makassar-Padang,2070,305,0,135,Storm
ORD000115,Jakarta-Manado,2220,313,0,90,None
ORD000116,Semarang-Makassar,1480,225,0,155,Heavy_Rain
ORD000117,Makassar-Bandung,1605,250,0,175,Flood
ORD000118,Palembang-Makassar,1810,270,0,105,Heavy_Rain
ORD000119,Makassar-Samarinda,1070,165,0,45,None
ORD000120,Surabaya-Pontianak,1510,230,0,140,Heavy_Rain
ORD000121,Jakarta-Padang,1070,165,0,30,None
ORD000122,Makassar-Semarang,1430,218,0,195,Traffic_Jam
ORD000123,Balikpapan-Jakarta,1335,210,480000,80,Fog
ORD000124,Makassar-Medan,2570,365,0,160,Heavy_Rain
ORD000125,Manado-Jakarta,2270,325,0,120,Storm
ORD000126,Jakarta-Samarinda,1410,220,0,50,None
ORD000127,Makassar-Pontianak,1765,260,0,230,Heavy_Rain
ORD000128,Surabaya-Palembang,1270,190,0,60,None
ORD000129,Bandung-Balikpapan,1470,225,0,105,Heavy_Rain
ORD000130,Makassar-Padang,2085,310,0,130,Storm
ORD000131,Jakarta-Manado,2235,318,0,85,None
ORD000132,Semarang-Makassar,1495,230,0,150,Heavy_Rain
ORD000133,Makassar-Bandung,1620,255,0,170,Flood
ORD000134,Palembang-Makassar,1825,275,0,100,Heavy_Rain
ORD000135,Makassar-Samarinda,1085,168,0,40,None
ORD000136,Surabaya-Pontianak,1525,235,0,135,Heavy_Rain
ORD000137,Jakarta-Padang,1085,170,0,25,None
ORD000138,Makassar-Semarang,1445,222,0,190,Traffic_Jam
ORD000139,Balikpapan-Jakarta,1350,215,490000,75,Fog
ORD000140,Makassar-Medan,2585,370,0,155,Heavy_Rain
ORD000141,Manado-Jakarta,2285,330,0,115,Storm
ORD000142,Jakarta-Samarinda,1425,225,0,45,None
ORD000143,Makassar-Pontianak,1780,265,0,225,Heavy_Rain
ORD000144,Surabaya-Palembang,1285,195,0,55,None
ORD000145,Bandung-Balikpapan,1485,230,0,100,Heavy_Rain
ORD000146,Makassar-Padang,2100,315,0,125,Storm
ORD000147,Jakarta-Manado,2250,323,0,80,None
ORD000148,Semarang-Makassar,1510,235,0,145,Heavy_Rain
ORD000149,Makassar-Bandung,1635,260,0,165,Flood
ORD000150,Palembang-Makassar,1840,280,0,95,Heavy_Rain
